Latitude,Longitude,Country,State,Deaths,Confirmed,Recovered,County,FIPS,_time,file_name
,,Mainland China,Hubei,2615.0,65187.0,20969.0,,,02-26-2020,02-26-2020.csv
,,Mainland China,Guangdong,7.0,1347.0,851.0,,,02-26-2020,02-26-2020.csv
,,Mainland China,Henan,19.0,1271.0,1033.0,,,02-26-2020,02-26-2020.csv
,,South Korea,,12.0,1261.0,22.0,,,02-26-2020,02-26-2020.csv
,,Mainland China,Zhejiang,1.0,1205.0,867.0,,,02-26-2020,02-26-2020.csv
,,Mainland China,Hunan,4.0,1016.0,783.0,,,02-26-2020,02-26-2020.csv
,,Mainland China,Anhui,6.0,989.0,744.0,,,02-26-2020,02-26-2020.csv
,,Mainland China,Jiangxi,1.0,934.0,719.0,,,02-26-2020,02-26-2020.csv
,,Mainland China,Shandong,6.0,756.0,377.0,,,02-26-2020,02-26-2020.csv
,,Others,Diamond Princess cruise ship,4.0,705.0,10.0,,,02-26-2020,02-26-2020.csv
,,Mainland China,Jiangsu,0.0,631.0,478.0,,,02-26-2020,02-26-2020.csv
,,Mainland China,Chongqing,6.0,576.0,384.0,,,02-26-2020,02-26-2020.csv
,,Mainland China,Sichuan,3.0,531.0,307.0,,,02-26-2020,02-26-2020.csv
,,Mainland China,Heilongjiang,12.0,480.0,249.0,,,02-26-2020,02-26-2020.csv
,,Italy,,12.0,453.0,3.0,,,02-26-2020,02-26-2020.csv
,,Mainland China,Beijing,4.0,400.0,235.0,,,02-26-2020,02-26-2020.csv
,,Mainland China,Shanghai,3.0,337.0,272.0,,,02-26-2020,02-26-2020.csv
,,Mainland China,Hebei,6.0,312.0,261.0,,,02-26-2020,02-26-2020.csv
,,Mainland China,Fujian,1.0,294.0,218.0,,,02-26-2020,02-26-2020.csv
,,Mainland China,Guangxi,2.0,252.0,147.0,,,02-26-2020,02-26-2020.csv
,,Mainland China,Shaanxi,1.0,245.0,192.0,,,02-26-2020,02-26-2020.csv
,,Japan,,2.0,189.0,22.0,,,02-26-2020,02-26-2020.csv
,,Mainland China,Yunnan,2.0,174.0,144.0,,,02-26-2020,02-26-2020.csv
,,Mainland China,Hainan,5.0,168.0,129.0,,,02-26-2020,02-26-2020.csv
,,Mainland China,Guizhou,2.0,146.0,104.0,,,02-26-2020,02-26-2020.csv
,,Iran,,19.0,139.0,49.0,,,02-26-2020,02-26-2020.csv
,,Mainland China,Tianjin,3.0,135.0,96.0,,,02-26-2020,02-26-2020.csv
,,Mainland China,Shanxi,0.0,133.0,104.0,,,02-26-2020,02-26-2020.csv
,,Mainland China,Liaoning,1.0,121.0,88.0,,,02-26-2020,02-26-2020.csv
,,Mainland China,Jilin,1.0,93.0,65.0,,,02-26-2020,02-26-2020.csv
,,Singapore,,0.0,93.0,62.0,,,02-26-2020,02-26-2020.csv
,,Hong Kong,Hong Kong,2.0,91.0,24.0,,,02-26-2020,02-26-2020.csv
,,Mainland China,Gansu,2.0,91.0,81.0,,,02-26-2020,02-26-2020.csv
