Latitude,Longitude,Country,State,Deaths,Confirmed,Recovered,County,FIPS,People_Hospitalized,People_Tested,Incident_Rate,Mortality_Rate,Testing_Rate,Hospitalization_Rate,_time,file_name
32.3182,-86.9023,US,Alabama,692,20500,11395.0,,1.0,2022.0,259566.0,418.0955848086499,3.3756097560975613,,9.86341463414634,06-07-2020,06-07-2020.csv
61.3707,-152.4044,US,Alaska,10,543,382.0,,2.0,,64904.0,74.22646590435312,1.8416206261510129,,,06-07-2020,06-07-2020.csv
-14.271,-170.132,US,American Samoa,0,0,,,60.0,,174.0,0.0,,,,06-07-2020,06-07-2020.csv
33.7298,-111.4312,US,Arizona,1051,26989,5517.0,,4.0,3352.0,281621.0,370.7933692160308,3.8941791100077814,,12.419874763792656,06-07-2020,06-07-2020.csv
34.9697,-92.3731,US,Arkansas,154,9426,6424.0,,5.0,844.0,160273.0,312.3463286548762,1.6337789093995332,,8.953957139826011,06-07-2020,06-07-2020.csv
36.1162,-119.6816,US,California,4632,130615,,,6.0,,2362218.0,330.56859392598585,3.546300195230257,,,06-07-2020,06-07-2020.csv
39.0598,-105.3111,US,Colorado,1527,27987,4074.0,,8.0,4480.0,213014.0,485.99206492535865,5.456104620002144,,16.007432022010214,06-07-2020,06-07-2020.csv
41.5978,-72.7554,US,Connecticut,4071,43968,7284.0,,9.0,9669.0,302354.0,1233.2247025274546,9.25900655021834,,21.990993449781662,06-07-2020,06-07-2020.csv
39.3185,-75.5071,US,Delaware,398,9942,5792.0,,10.0,,68997.0,1020.9866045571615,4.003218668276001,,,06-07-2020,06-07-2020.csv
,,US,Diamond Princess,0,49,,,88888.0,,,,0.0,,,06-07-2020,06-07-2020.csv
38.8974,-77.0268,US,District of Columbia,489,9332,1143.0,,11.0,,54547.0,1322.283134655522,5.240034290612946,,,06-07-2020,06-07-2020.csv
27.7663,-81.6868,US,Florida,2700,63938,,,12.0,11215.0,1216158.0,297.69430550341497,4.2228408770996895,,17.54042979136038,06-07-2020,06-07-2020.csv
33.0406,-83.6431,US,Georgia,2180,51898,,,13.0,8685.0,539884.0,488.80034260667577,4.200547227253459,,16.734748930594627,06-07-2020,06-07-2020.csv
,,US,Grand Princess,3,103,,,99999.0,,,,2.9126213592233015,,,06-07-2020,06-07-2020.csv
13.4443,144.7937,US,Guam,5,179,162.0,,66.0,,7463.0,108.99414841471359,2.793296089385475,,,06-07-2020,06-07-2020.csv
21.0943,-157.4983,US,Hawaii,17,675,616.0,,15.0,83.0,54055.0,47.67380102156127,2.5185185185185186,,12.296296296296294,06-07-2020,06-07-2020.csv
44.2405,-114.4788,US,Idaho,83,3139,2461.0,,16.0,260.0,56041.0,175.6511374796104,2.6441541892322395,,8.282892640968461,06-07-2020,06-07-2020.csv
40.3495,-88.9861,US,Illinois,5904,127757,,,17.0,,1042774.0,1008.1976378927699,4.621273198337469,,,06-07-2020,06-07-2020.csv
39.8494,-86.2583,US,Indiana,2303,37397,25138.0,,18.0,6136.0,304263.0,555.4929214275412,6.158247987806509,,16.407733240634276,06-07-2020,06-07-2020.csv
42.0115,-93.2105,US,Iowa,605,21712,12805.0,,19.0,,188192.0,688.1622277794154,2.7864775239498893,,,06-07-2020,06-07-2020.csv
38.5266,-96.7265,US,Kansas,233,10406,612.0,,20.0,917.0,113653.0,357.18772504439966,2.2390928310590046,,8.812223717086297,06-07-2020,06-07-2020.csv
37.6681,-84.6701,US,Kentucky,470,11287,3344.0,,21.0,2361.0,249062.0,252.63711108668878,4.164082572871445,,20.917870116062726,06-07-2020,06-07-2020.csv
31.1695,-91.8678,US,Louisiana,2936,42816,31728.0,,22.0,,434065.0,921.0130627427243,6.857249626307922,,,06-07-2020,06-07-2020.csv
44.6939,-69.3819,US,Maine,99,2570,1864.0,,23.0,298.0,58969.0,191.190080136169,3.852140077821012,,11.595330739299609,06-07-2020,06-07-2020.csv
39.0639,-76.8021,US,Maryland,2749,57973,4240.0,,24.0,9546.0,364803.0,958.9161186169298,4.74186259120625,,16.466286029703483,06-07-2020,06-07-2020.csv
42.2302,-71.5301,US,Massachusetts,7316,103436,,,25.0,10393.0,652490.0,1500.7030102126905,7.072972659422251,,10.047759000734754,06-07-2020,06-07-2020.csv
43.3266,-84.5361,US,Michigan,5898,64648,42041.0,,26.0,,710718.0,644.9776941834654,9.151879279027526,,,06-07-2020,06-07-2020.csv
45.6945,-93.9002,US,Minnesota,1197,27886,22992.0,,27.0,3367.0,344203.0,494.46488707064566,4.292476511511151,,12.074159076238972,06-07-2020,06-07-2020.csv
32.7416,-89.6787,US,Mississippi,817,17270,11203.0,,28.0,2522.0,203249.0,580.2800867832893,4.730746960046323,,14.603358425014475,06-07-2020,06-07-2020.csv
38.4561,-92.2884,US,Missouri,815,15023,,,29.0,,236858.0,244.77680226961516,5.425014977035213,,,06-07-2020,06-07-2020.csv
46.9219,-110.4544,US,Montana,18,545,475.0,,30.0,69.0,47378.0,50.99281609464267,3.3027522935779823,,12.660550458715596,06-07-2020,06-07-2020.csv
41.1254,-98.2681,US,Nebraska,187,15664,8255.0,,31.0,928.0,119769.0,809.7567834707053,1.1938202247191012,,5.9244126659857,06-07-2020,06-07-2020.csv
38.3135,-117.0554,US,Nevada,438,9669,522.0,,32.0,,175697.0,313.91267195557634,4.52994104871238,,,06-07-2020,06-07-2020.csv
43.4525,-71.5639,US,New Hampshire,286,5043,3319.0,,33.0,487.0,84009.0,370.8876371523066,5.671227443981758,,9.656950228038868,06-07-2020,06-07-2020.csv
40.2989,-74.521,US,New Jersey,12176,164164,27824.0,,34.0,18050.0,960425.0,1848.237878271012,7.416973270631808,,10.995102458517092,06-07-2020,06-07-2020.csv
34.8405,-106.2485,US,New Mexico,396,8940,3286.0,,35.0,1489.0,229147.0,426.35808642478713,4.429530201342282,,16.655480984340045,06-07-2020,06-07-2020.csv
42.1657,-74.9481,US,New York,30374,378097,67544.0,,36.0,89995.0,2497842.0,1943.5876033184875,8.033388257510639,,23.80209311367189,06-07-2020,06-07-2020.csv
35.6301,-79.8064,US,North Carolina,1032,35625,18860.0,,37.0,,511226.0,339.67119256481925,2.896842105263158,,,06-07-2020,06-07-2020.csv
47.5289,-99.784,US,North Dakota,72,2861,2307.0,,38.0,183.0,79933.0,375.4287708874081,2.516602586508214,,6.396364907375044,06-07-2020,06-07-2020.csv
15.0979,145.6739,US,Northern Mariana Islands,19,27,19.0,,69.0,,7241.0,48.962715798636296,70.37037037037038,,,06-07-2020,06-07-2020.csv
40.3888,-82.7649,US,Ohio,2379,38476,,,39.0,6497.0,469024.0,329.16135545080465,6.183075163738433,,16.88585092005406,06-07-2020,06-07-2020.csv
35.5653,-96.9289,US,Oklahoma,348,7150,5981.0,,40.0,1026.0,221748.0,180.6937680362075,4.867132867132868,,14.34965034965035,06-07-2020,06-07-2020.csv
44.572,-122.0709,US,Oregon,163,4662,2237.0,,41.0,819.0,148400.0,110.53320773675553,3.496353496353497,,17.567567567567572,06-07-2020,06-07-2020.csv
40.5908,-77.2098,US,Pennsylvania,5943,79908,53670.0,,42.0,,520385.0,624.1842576180935,7.4373028983330824,,,06-07-2020,06-07-2020.csv
18.2208,-66.5901,US,Puerto Rico,142,4985,,,72.0,,4985.0,169.9388561018447,2.8485456369107323,,,06-07-2020,06-07-2020.csv
41.6809,-71.5118,US,Rhode Island,772,15441,1336.0,,44.0,1775.0,170739.0,1457.5767844955594,4.999676186775468,,11.495369470889194,06-07-2020,06-07-2020.csv
33.8569,-80.945,US,South Carolina,546,14286,7347.0,,45.0,1814.0,237859.0,277.467344272764,3.8219235615287683,,12.697746045079098,06-07-2020,06-07-2020.csv
44.2998,-99.4388,US,South Dakota,65,5438,4335.0,,46.0,478.0,57060.0,614.7001273937191,1.1952923869069512,,8.789996322177274,06-07-2020,06-07-2020.csv
35.7478,-86.6923,US,Tennessee,418,26493,17222.0,,47.0,1932.0,498768.0,387.9385706089785,1.5777752613898008,,7.292492356471522,06-07-2020,06-07-2020.csv
31.0545,-97.5635,US,Texas,1841,75408,49758.0,,48.0,,1100446.0,260.0645243370946,2.4413855293868023,,,06-07-2020,06-07-2020.csv
40.15,-111.8624,US,Utah,121,12066,7108.0,,49.0,900.0,237951.0,376.3617614454088,1.002817835239516,,7.458975634012929,06-07-2020,06-07-2020.csv
44.0459,-72.7107,US,Vermont,55,1063,890.0,,50.0,,41218.0,170.35556716544681,5.174035747883348,,,06-07-2020,06-07-2020.csv
18.3358,-64.8963,US,Virgin Islands,6,71,62.0,,78.0,,2196.0,66.18935749711004,8.450704225352112,,,06-07-2020,06-07-2020.csv
37.7693,-78.17,US,Virginia,1472,50681,6538.0,,51.0,7724.0,379816.0,578.7228638352277,2.957669494098832,,15.636577120068019,06-07-2020,06-07-2020.csv
47.4009,-121.4905,US,Washington,1157,23729,,,53.0,3652.0,400588.0,311.6130456462093,4.875890260862237,,15.390450503603187,06-07-2020,06-07-2020.csv
38.4912,-80.9545,US,West Virginia,84,2144,1451.0,,54.0,,111807.0,119.63304349475796,3.917910447761194,,,06-07-2020,06-07-2020.csv
44.2685,-89.6165,US,Wisconsin,647,20835,14047.0,,55.0,2848.0,346702.0,357.84003734520655,3.1053515718742504,,13.66930645548356,06-07-2020,06-07-2020.csv
42.756,-107.3025,US,Wyoming,17,947,757.0,,56.0,90.0,28751.0,163.6259652117721,1.795142555438226,,9.503695881731783,06-07-2020,06-07-2020.csv
32.3182,-86.9023,US,Alabama,689,20043,11395.0,,1.0,1993.0,245644.0,408.7751125034034,3.4376091403482514,,9.943621214389065,06-06-2020,06-06-2020.csv
61.3707,-152.4044,US,Alaska,10,535,382.0,,2.0,48.0,63901.0,73.13288997942709,1.8691588785046729,,8.97196261682243,06-06-2020,06-06-2020.csv
-14.271,-170.132,US,American Samoa,0,0,,,60.0,,174.0,0.0,,,,06-06-2020,06-06-2020.csv
33.7298,-111.4312,US,Arizona,1043,25451,5399.0,,4.0,3320.0,271646.0,349.6632717002187,4.09807080271895,,13.044674079603947,06-06-2020,06-06-2020.csv
34.9697,-92.3731,US,Arkansas,154,9101,6266.0,,5.0,838.0,156757.0,301.57690824188717,1.6921217448632018,,9.207779364904956,06-06-2020,06-06-2020.csv
36.1162,-119.6816,US,California,4607,128593,,,6.0,,2308300.0,325.45119012919116,3.5818434907032266,,,06-06-2020,06-06-2020.csv
39.0598,-105.3111,US,Colorado,1527,27834,4055.0,,8.0,4472.0,208277.0,483.335231898111,5.486096141409787,,16.066681037579933,06-06-2020,06-06-2020.csv
41.5978,-72.7554,US,Connecticut,4055,43818,7284.0,,9.0,9669.0,295549.0,1229.0174675979802,9.254187776712769,,22.066274133917567,06-06-2020,06-06-2020.csv
39.3185,-75.5071,US,Delaware,390,9845,5696.0,,10.0,,67635.0,1011.0252586869098,3.961401726764856,,,06-06-2020,06-06-2020.csv
,,US,Diamond Princess,0,49,,,88888.0,,,,0.0,,,06-06-2020,06-06-2020.csv
38.8974,-77.0268,US,District of Columbia,483,9269,1138.0,,11.0,,53678.0,1313.356448255683,5.2109181141439205,,,06-06-2020,06-06-2020.csv
27.7663,-81.6868,US,Florida,2688,62758,,,12.0,11163.0,1174185.0,292.20024437397666,4.28311928359731,,17.787373721278566,06-06-2020,06-06-2020.csv
